zip,zip_code,mhi_avg,pmh_avg,hei_avg,pci_avg,mhi_avg1,sph_avg,is_avg,hsd_avg,bd_avg
90620,90620,24.66153846,12.50769231,46.55384615,30765.53846,88141.46154,17.97692308,35.89230769,83.67692308,28.36923077
90621,90621,20.37777778,12.46666667,53.85555556,24154.44444,69770.11111,18.14444444,36.63333333,72.64444444,24.61111111
90623,90623,19.15714286,8.771428571,19.25714286,33482.14286,89751.0,11.32857143,29.57142857,79.15714286,36.12857143
90630,90630,21.24,9.965,22.515,36614.6,97126.65,14.14,30.545,81.925,39.325
90631,90631,21.815,10.24,37.46,24567.75,65048.75,13.46,29.02,63.765,21.41
90680,90680,27.46666667,13.4,64.775,29174.16667,76882.41667,21.81666667,36.95833333,79.09166667,24.575
90720,90720,21.88888889,10.66666667,19.27777778,47251.77778,108733.3333,15.38888889,32.01111111,83.08888889,50.33333333
90740,90740,15.13,9.83,17.64,55212.7,99617.4,15.98,29.59,66.36,49.0
90742,90742,14.0,10.4,12.75,72833.5,103920.5,21.75,30.85,48.0,55.05
90743,90743,10.4,10.9,14.1,76803.0,100303.0,33.6,31.1,0.0,56.7
92602,92602,5.25,9.525,10.5,14816.5,31939.75,3.225,33.2,24.225,19.25
92603,92603,8.52,9.4,5.0,47814.8,96143.4,10.66,30.74,78.04,60.4
92604,92604,24.43333333,10.18888889,15.63333333,47061.11111,112583.5556,13.98888889,32.45555556,84.17777778,63.98888889
92606,92606,17.65,10.875,23.925,21860.25,56050.0,11.025,35.025,48.3,30.325
92610,92610,3.75,10.425,5.075,42735.5,107167.25,5.5,33.0,48.2,46.075
92612,92612,26.41428571,13.32857143,30.77142857,34531.85714,57551.0,14.22857143,34.15714286,55.65714286,58.61428571
92614,92614,19.05714286,10.72857143,18.67142857,39618.71429,92920.85714,13.68571429,33.72857143,82.41428571,58.38571429
92617,92617,10.8,18.0,33.5,21622.0,42756.0,6.3,36.8,0.0,84.7
92618,92618,16.05384615,10.36153846,18.46923077,27501.07692,57942.07692,5.130769231,32.77692308,36.31538462,33.03846154
92620,92620,10.81428571,9.771428571,10.92857143,16666.14286,35796.0,3.628571429,32.91428571,26.67142857,18.87142857
92624,92624,23.03333333,10.9,10.86666667,55322.33333,102975.0,5.566666667,30.7,92.73333333,45.36666667
92625,92625,12.4,9.266666667,1.783333333,101361.0,146201.5,7.25,29.31666667,0.0,60.66666667
92626,92626,15.82666667,12.81333333,31.91333333,42626.26667,87101.33333,14.59333333,33.92666667,81.24666667,38.78666667
92627,92627,14.82631579,13.08421053,35.94736842,52032.10526,97208.94737,20.81578947,33.79473684,66.29473684,44.39473684
92629,92629,19.9,10.56,12.65,71551.2,115641.5,10.2,30.62,77.17,55.06
92630,92630,14.52142857,11.7,22.31428571,46057.14286,111243.5714,14.11428571,33.5,71.28571429,46.02857143
92637,92637,38.13333333,8.911111111,29.68888889,41748.22222,60364.22222,7.566666667,28.3,83.21111111,45.3
92646,92646,16.675,11.225,15.86875,49687.625,108876.375,9.51875,32.11875,94.0875,45.44375
92647,92647,25.3375,12.45,34.2875,39800.625,91413.125,18.36875,34.43125,89.23125,36.825
92648,92648,19.60666667,11.9,20.56666667,52689.73333,97377.93333,18.08666667,32.88666667,87.06,42.18
92649,92649,17.23571429,11.45,16.77142857,54226.28571,106429.0,13.22142857,32.20714286,81.17857143,45.82857143
92651,92651,35.8625,9.5375,9.775,79297.75,110417.375,13.5375,29.425,84.5875,53.35
92653,92653,26.30909091,9.863636364,21.89090909,50190.36364,90833.81818,7.636363636,30.06363636,76.52727273,47.85454545
92655,92655,63.45,12.5,71.725,29506.0,63688.5,28.2,37.825,74.7,26.75
92656,92656,10.70909091,11.1,11.14545455,55495.45455,123884.8182,12.47272727,32.76363636,86.99090909,57.24545455
92657,92657,13.95,9.1,1.8,125461.0,183030.0,11.35,30.4,0.0,74.5
92660,92660,18.93076923,10.53846154,8.2,79545.46154,114903.0,10.90769231,30.43846154,44.63076923,59.40769231
92661,92661,35.1,10.9,8.4,108319.0,173229.0,44.8,29.9,0.0,58.3
92662,92662,20.6,8.5,1.3,104040.0,127443.0,0.0,26.6,0.0,70.5
92663,92663,17.92222222,10.98888889,15.6,80968.77778,122951.3333,15.48888889,30.82222222,50.91111111,57.5
92672,92672,18.17272727,10.45454545,16.13636364,40608.0,68273.36364,9.427272727,28.76363636,67.71818182,32.22727273
92673,92673,15.56666667,10.91666667,6.966666667,49431.66667,104942.0,7.65,31.15,79.28333333,40.2
92675,92675,15.6,11.4,18.51666667,41030.66667,81379.41667,5.641666667,31.95833333,59.26666667,34.49166667
92676,92676,2.383333333,11.15,8.833333333,44974.16667,109162.1667,5.3,33.08333333,47.5,41.55
92677,92677,10.38125,10.95625,11.23125,65921.75,123829.5625,11.675,31.73125,89.36875,55.66875
92679,92679,4.44,11.03,6.13,62576.6,151919.6,6.74,32.43,57.58,50.76
92683,92683,39.05909091,12.55909091,61.62272727,29508.18182,72348.63636,19.42272727,37.20454545,78.37727273,26.4
92688,92688,9.8,11.26,10.12,46785.4,112982.4,13.24,33.01,76.16,45.53
92691,92691,15.31333333,11.28666667,14.66666667,53059.66667,127720.0,8.926666667,32.33333333,87.5,49.41333333
92692,92692,11.45789474,10.9,10.61578947,52512.05263,124949.8947,9.378947368,31.82105263,84.71052632,51.32105263
92694,92694,9.183333333,10.26666667,2.75,45423.33333,108336.5,12.36666667,31.9,64.83333333,44.01666667
92701,92701,13.31333333,16.39333333,84.26,19614.8,59986.0,21.45333333,38.11333333,56.46666667,13.28
92703,92703,15.88181818,15.71818182,89.20454545,19130.04545,64449.72727,18.23636364,38.84090909,56.01363636,12.19090909
92704,92704,10.75833333,14.05,72.00416667,23608.16667,76149.91667,18.59166667,37.25833333,61.16666667,18.79166667
92705,92705,17.0826087,12.04347826,32.75652174,42127.0,99294.52174,15.02608696,33.51304348,69.72173913,36.78695652
92706,92706,16.1,14.39230769,73.42307692,24078.23077,71271.76923,15.97692308,36.85384615,58.59230769,16.75384615
92707,92707,9.83125,14.71875,73.95,23138.25,72563.75,21.8625,37.0875,56.725,16.23125
92708,92708,23.48888889,11.36111111,39.8,36033.88889,87048.55556,12.32222222,34.78888889,86.28333333,36.91111111
92780,92780,15.90625,12.525,44.65,35167.0625,82305.3125,22.25625,34.6875,78.04375,32.675
92782,92782,9.071428571,9.957142857,15.61428571,38725.85714,89936.14286,3.928571429,33.51428571,54.88571429,38.9
92801,92801,28.87727273,13.95,68.49545455,25758.68182,70163.68182,24.28636364,36.78636364,75.18181818,21.74090909
92802,92802,18.95,13.12142857,68.57857143,22923.64286,65592.64286,20.15714286,34.45714286,68.32857143,18.9
92804,92804,27.36923077,13.62307692,64.54615385,27125.80769,73423.38462,21.37692308,36.99230769,78.3,23.05384615
92805,92805,18.1875,13.95,70.21875,19762.0,57204.0,21.575,34.66875,55.675,16.30625
92806,92806,15.81176471,12.55294118,56.71176471,25928.05882,66492.47059,18.55882353,33.41764706,64.1,22.43529412
92807,92807,12.8125,10.675,16.64375,44932.6875,104873.4375,13.35625,31.0,80.175,38.46875
92808,92808,6.72,10.56,7.82,55538.4,136903.2,12.14,32.84,94.96,54.2
92821,92821,20.15833333,11.29166667,22.175,38288.66667,89724.16667,15.28333333,32.81666667,84.0,39.35833333
92823,92823,19.65,10.5,10.075,32806.0,86502.5,10.825,32.075,71.425,35.95
92831,92831,22.99090909,13.2,43.55454545,36526.09091,85736.0,19.86363636,34.0,90.50909091,41.17272727
92832,92832,32.73636364,13.37272727,54.9,36136.09091,83652.36364,15.15454545,34.84545455,75.84545455,34.18181818
92833,92833,29.15384615,11.53076923,43.56923077,33207.30769,84897.38462,15.36153846,34.95384615,72.64615385,33.05384615
92835,92835,25.2625,11.28125,25.04375,41476.5625,95978.25,16.10625,32.93125,80.61875,44.55
92840,92840,23.95625,13.3,67.94375,26633.8125,76193.5625,21.54375,37.3375,76.4375,22.34375
92841,92841,29.64375,13.25625,65.025,29268.9375,75599.1875,21.5875,37.25,79.10625,25.3625
92843,92843,22.37647059,13.10588235,76.83529412,23967.17647,73857.82353,21.33529412,38.36470588,69.71176471,18.78823529
92844,92844,36.53,12.91,77.95,25330.7,62138.0,26.32,39.09,73.13,23.48
92845,92845,9.333333333,11.65,17.76666667,42686.33333,104681.5,7.066666667,33.2,90.05,35.83333333
92861,92861,11.6,10.88,18.36,64459.0,138114.8,10.5,32.18,90.92,50.7
92865,92865,12.1,13.25,38.425,37539.0,95652.5,16.4375,34.2375,84.025,35.75
92866,92866,17.55,14.475,48.2,38463.25,79705.75,14.425,34.775,82.8,33.875
92867,92867,10.73529412,12.25294118,30.48235294,50274.88235,115663.9412,12.58823529,33.31764706,87.48823529,42.70588235
92868,92868,18.62857143,13.55714286,61.74285714,21482.42857,55056.42857,14.61428571,36.22857143,52.62857143,17.85714286
92869,92869,14.66,10.99,18.58,56951.8,136297.9,13.67,32.41,62.41,50.04
92870,92870,12.825,11.295,27.255,35565.45,91852.8,14.58,31.705,76.19,36.05
92886,92886,12.15,10.71875,7.43125,49814.9375,122603.6875,10.35,31.8875,83.4875,46.5625
92887,92887,5.714285714,10.5,8.457142857,59935.42857,137994.1429,7.7,32.28571429,95.71428571,56.27142857
